,Ast 1,Ast 2,Ast 3,NPs,GABAs,GluNs 1,GluNs 2,GluNs 3,GluNs 4,GluNs 5,Pro Ast,Pro GABAs,VLMCs 1,VLMCs 2,VEs 1,VEs 3,Peri 1,Peri 2,SMCs,Fib,PCs
Pro Ast,61.5350901043759,45.1943054867176,63.8679650372086,47.2083897147551,54.7832508187618,61.1725786888781,77.4521140799502,58.0123384592299,61.6224104467992,63.0271836841523,35.1440609385651,46.0024165041597,128.105334800882,83.271258139457,129.920925013644,41.2532873256221,76.9457927628551,72.2572162354481,109.685086837979,82.2717708190698,112.173525597876
Pro GABAs,51.5929523785439,50.8932392835115,26.9415932212341,34.020979775356,38.2566263676753,37.1436549486753,67.3078671028174,51.6946956698671,48.4836853457732,47.5978822108658,18.8480269962314,41.5871866941354,87.2931622532617,63.2122679802845,83.015256648476,28.9555131332756,64.2845242781453,59.4587857143076,62.9036567905796,62.4658895771123,77.8117662625413
VLMCs 1,187.080068412311,150.253243418878,164.511438414872,165.007560931213,151.520578445887,127.663989177712,200.192299100511,154.870840714779,174.934740727574,158.032100177555,141.714708031879,114.514012027056,376.369492648383,230.118104543267,391.08095386204,115.489804915083,236.382276060342,224.321422413311,281.650560490153,245.731864400089,318.644982845443
VLMCs 2,134.242848300962,121.547600948923,108.539466276141,104.310052756717,112.275676716788,90.4413120165761,144.441509947866,116.870567588326,126.269423626112,118.602567195384,86.3464587719933,84.1370543156166,265.391632866367,185.781570004817,293.092202130445,79.3821669466753,215.859040476967,185.480958626481,222.359214135867,204.871225504892,260.744819608366
VEs 1,149.062273942462,144.286384115999,121.623888862228,118.727024469321,107.86002535492,81.9450781546075,148.365054571569,107.657683049134,132.201739481513,121.987971127426,89.6401927453769,129.238875118842,273.249826103683,213.074555146592,453.807636706384,129.658330970498,240.737914665876,212.102570321373,228.599425331133,201.810143332703,270.509023964778
VEs 3,59.0899493773613,55.0246584612212,45.5618938936302,48.7657045439276,56.9727058403877,40.1309761563735,63.9119279813514,54.6965850440067,64.6057253655277,56.9529259180475,42.2501380335855,46.2749605796199,108.994185809345,86.1487061085739,165.061885866458,63.4481444308604,112.066305743118,94.6374756512074,113.291744296883,85.7760502286033,112.705262544738
Peri 1,121.756742617616,117.459787505434,100.086470258901,92.6294792751794,93.0912599858734,80.0499176051124,126.268113624886,97.9251524874048,108.179695314686,98.0991175204601,65.9824335644577,90.505346059888,244.370119321242,190.648164322045,296.483852918638,76.4251465093598,235.068851811968,199.284222179043,221.623605066489,209.699860167933,276.604617933473
Peri 2,80.7028874192258,73.2177284432642,66.2279962082865,61.8536369000904,60.0246810009917,63.542807238136,86.0395730580556,59.6917627759935,68.1962859092456,61.9428029519149,41.0721498173706,61.823210405728,171.112116117834,117.224152526228,177.878402892169,41.9861306781611,157.008362872423,138.422209490535,138.246448592842,128.729481421914,176.795834645518
SMCs,145.669265944068,118.835639888549,113.955417542384,99.9119428393957,102.046729156376,93.3125983251818,144.798887033247,104.531201371402,114.59228628056,98.7919149326579,73.9806588013477,91.3951830462863,293.561221258492,189.724005157953,329.758924106468,94.3868517614583,215.840236186104,196.709451632095,259.708250257187,200.656506427442,270.862268138009
Fib,161.965868679855,153.998973706736,137.005861814688,130.305017864401,125.289047187347,111.91455204852,180.431421171744,136.375324253912,151.571304090294,141.73181469827,100.53982424332,111.514505712718,356.013917205158,250.533166198381,370.315104258627,119.101265081524,251.33570067243,221.910589160519,273.074078377929,249.397567091916,315.295376038946
PCs,164.834653130684,148.263657005587,151.629304696542,130.030711522016,137.417709916894,112.492671513386,188.467455316174,145.384358733419,160.688126002682,150.267267495516,108.894862700491,116.506483095691,366.484243502346,263.414774935179,404.028182731878,114.67818739332,298.692974204515,278.613236278369,297.258120755198,275.030369681698,375.722300722054
