,Ast 1,Ast 2,Ast 3,Ast 4,NPs 1,NPs 2,GABAs,GluNs 1,GluNs 2,GluNs 3,GluNs 4,GluNs 5,Pro Ast,VLMCs 1,VLMCs 2,VLMCs 3,VEs 1,Venous ECs 1,Venous ECs 2,Brain VEs,Peri,SMCs,Fib,PCs
GluNs 4,81.68336709456,139.188093378721,64.9920110366934,112.754552375504,49.2889318703416,44.0553930650059,42.1399723451923,92.2307400770873,72.5894117448385,50.0008689092473,72.2318364712901,35.1080719391606,81.6445551379335,149.73511373143,126.492504499909,119.244318658821,67.8563935551278,74.1394127813514,63.7463660922031,72.8099977625326,100.013474950977,131.273640929441,106.374932616631,86.5146867627981
GluNs 5,52.4600736320113,76.1169844932236,44.8874991077201,73.9463497083739,26.0751557314569,24.4043041543029,28.4461932295512,60.2073954925447,51.3442779192369,35.9848450992132,50.6342443859836,31.0248723174634,52.0245585587375,103.700519708579,98.894060293721,87.439313346327,46.352145916348,50.4857968394171,45.8898556823364,56.4788826955389,70.2355247866258,106.100398906535,71.782004165577,53.5783527840012
Pro Ast,85.1246068923016,172.953327450357,63.5332553192144,132.259158697407,63.954152916954,35.6945592834872,38.0940422632057,99.8708438161501,83.543896058908,50.7559258950939,90.4440307960582,31.7159703704844,79.3101627599729,199.061633937993,182.851356598134,191.914001674521,100.700686936187,99.1843516478778,91.6086995391146,73.901380355762,132.24616278272,196.361409706712,138.026631077841,116.432490567984
VLMCs 1,242.997754507647,322.531093586529,190.513634135078,316.932078760079,142.230046775307,96.7350798570692,92.9099726896148,93.6848027706856,65.9341938808199,119.268111222854,122.911128750516,91.2150710387034,232.964905367003,450.730268468572,438.459403358843,459.682116809444,181.726704445595,180.184524421267,170.366987559546,219.740368371842,322.109124352823,403.394922566451,304.823087807054,267.296538757039
VLMCs 2,223.215690713463,290.764254670241,177.20874780849,281.449528417065,134.14159299208,87.5869872305273,93.347237014203,79.1117386830537,58.7320740297752,115.204296333003,106.704116147422,87.8410325039867,215.520319820192,397.906975098966,410.630227115229,397.857480515353,169.656468287539,170.941539921023,162.167893094304,205.077936637496,304.630932412483,381.810863275647,292.507207241813,261.676216767647
VLMCs 3,298.290827969767,436.007602397793,224.158675437233,411.7419179041,185.445898104914,124.396070139986,119.607277213389,105.774500024981,79.3689001580719,143.472088427139,153.276368794406,108.3352207944,290.177775117341,552.111670978204,524.551261686413,611.443679762931,219.839641411243,228.002906955965,213.921779156639,249.956876152826,381.46372423624,470.056402241917,343.096066920414,315.309798510331
VEs 1,146.815133649195,210.592456940809,116.336716500635,206.221563208583,103.08629039242,66.904140427895,73.2939283745871,129.49663073867,104.140866055814,104.327294042568,121.015960330665,65.2466628250623,139.619532122131,286.008608674064,287.061885686045,303.089362920743,136.579251764517,131.616541196395,127.340251071161,117.900795459135,215.406080798155,298.354090755929,203.529430660233,183.016813083936
Venous ECs 1,111.169370351392,168.208591038342,92.3177936738303,165.796107028111,73.7257935319566,50.181994640549,61.9431449268572,88.4066873049691,73.4083811486671,84.8506846603965,89.8534758842522,51.4976763257689,114.835575073638,219.551369781037,213.092376192175,222.284984700461,101.193077227932,110.63874618161,103.830905353772,119.594792059713,171.957561709338,242.826502624845,161.684078810123,145.567723215612
Venous ECs 2,125.730039406566,173.692767348511,96.5282917688726,177.15773531006,83.34000018197,55.7534893031857,66.5159625982114,88.4776272904531,75.6769108832907,87.511628799084,91.544672319322,58.1391908425212,124.739815324475,239.890286480668,233.848127700024,249.048166823748,120.046799710114,120.814733595089,114.847116916383,124.615182577884,178.349420721012,249.65419074416,171.921880194473,151.798282742595
Brain VEs,205.409710871258,289.603066223836,155.685694015556,284.606354965345,125.217527893244,78.791737339628,87.7584825032779,102.286722835767,73.2144170235414,107.137682825328,106.581612916807,82.99048883523,200.723203810304,409.500816162604,400.490857991413,422.763176392996,177.210430995796,174.626016933345,167.932549893948,186.612184884965,292.050839442378,365.129255063352,264.549240594518,238.082371396563
Peri,167.131029853792,228.599158904567,144.578447557462,231.76734312964,99.3223619015289,69.4849317916907,77.8448319221353,87.408884480152,60.9359826888635,101.787541330296,111.241193172251,67.6759813424498,150.815478924863,296.395466802136,289.023450717771,307.393596714672,101.128353724794,121.225683324371,121.053143727076,167.583041856919,235.31155067011,305.285756504878,202.021612028674,184.880051835413
SMCs,197.204078995821,268.838931486827,161.163903821156,270.484435937671,123.04268683431,80.7975752921074,84.2132852248563,113.411057313753,75.0122677838874,125.924773474427,121.404543150101,84.5860347136499,204.285982447586,378.687617401097,408.965203197144,399.811382805354,171.785969790316,189.895981368197,164.87918095327,194.432919677204,305.17897555793,409.784933393379,300.931714347748,263.676946263347
Fib,170.213905470878,234.364302708137,134.59736479615,234.708799029715,110.704317071701,71.642146462581,73.6897324179509,85.7178557344824,64.8128419784708,103.777815089713,115.15101933252,69.0972667879825,177.795336629718,327.047209190198,326.430637055225,350.573480389465,147.433217255012,158.345131381653,143.023658424383,159.465732310169,263.894262500429,340.501051639163,247.528883867893,218.511187829096
PCs,209.082516819037,265.608352784974,147.74271011267,271.599000302663,126.041862260844,75.363299425308,85.8706940825908,102.480577652032,82.2908670135151,125.171075123681,135.282523151559,77.2372543120135,198.793285370891,361.911144554755,358.085662279678,382.035310038257,153.22245735171,171.723261828557,151.058008193326,178.131807771122,277.688449053794,367.652890326603,257.655474377558,248.899649152015
